,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Desulfovibrio subterraneus,0.001758236262411683,0.0010584418677265198,0.0007532478432900145,0.0008065189626917336,0.0007014702178065026,0.0004213125148775982,0.000596040528682766,0.0007923691679648315,0.0006671268671652094,0.0004352484055918228,0.0004180451511988025,0.0008331466259250462,0.0010153830532568411,0.0011064045662545787,0.0015540451579622153,0.0012370228570898418,0.0010713938276573033,0.001402166815118296,0.0011647810306470142,0.0006169226230243506,0.0008236997898816718
Paraburkholderia fungorum,0.000742366421907155,0.0,0.00048423075640072357,0.0,0.0005101601584047292,0.0,0.0007256145566572802,0.0011772341924048925,0.0,0.0005596050929037722,0.0008593150330197608,0.0,0.0017205101735740921,0.0022128091325091573,0.003237594079087948,0.0011928434693366332,0.002742768198802696,0.0018361708293215782,0.0011647810306470142,0.0011975556799884454,0.00044929079448091186
Candidatus Protochlamydia naegleriophila,0.00019535958471240923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031524466926893634,0.0,0.0,0.0,0.0,0.0,0.0009347778767455308,0.0,0.0,0.00024336584701049394
Fulvivirga maritima,0.001250301342159419,0.0,0.0005649358824675109,0.0,0.0003507351089032513,0.0,0.0,0.00036222590535535154,0.0,0.0,0.0,0.0007881116731723408,0.0,0.0,0.0,0.0006626908162981296,0.0006428362965943819,0.0004340040142032822,0.000677198273631985,0.00047176435878332695,0.0004680112442509499
Paenibacillus crassostreae,0.0006642225880221913,0.0,0.0,0.0,0.0,0.0,0.0007515293622521832,0.0005659779771177368,0.0006320149267880931,0.0008083184675276709,0.00032514622871017976,0.00029272719289258375,0.0004794864418157306,0.00090151483176299,0.0007338546579266016,0.0029158395917117702,0.001671374371145393,0.0025706391610502096,0.0013002206853734112,0.001379003510289725,0.00037440899540075993
Desulfococcus multivorans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036222590535535154,0.0,0.0,0.0,0.00033776214564528893,0.0,0.0005736912565764482,0.0,0.0005301526530385037,0.0006428362965943819,0.0004673889383727654,0.0003250551713433528,0.0003991852266628151,0.0
Methylobacterium durans,0.0,0.0,0.0,0.0003902511109798711,0.0,0.0,0.0003368924727337373,0.00036222590535535154,0.0,0.0,0.0,0.0,0.0,0.0005736912565764482,0.0006475188158175896,0.0006626908162981296,0.0005142690372755054,0.0,0.000406318964179191,0.0,0.00028080674655056993
Roseovarius sp. SCSIO 43702,0.00031257533553985474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005404194330324623,0.00033846101775228036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004118498949408359
Leadbettera azotonutricia,0.00039071916942481845,0.0,0.0004304273390228654,0.0003902511109798711,0.0,0.0007724062772755966,0.000984762612606309,0.0011772341924048925,0.0006320149267880931,0.0006528726083877342,0.0004877193430652696,0.00033776214564528893,0.0012410237317583613,0.0014752060883394384,0.0025469073422158526,0.002208969387660432,0.0017142301242516849,0.0021366351468469274,0.00135439654726397,0.0011612661139281896,0.0011793883355123937
Rhizobium sp. CB3090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009065263421446255,0.0005743320407917123,0.0005999805434880897,0.0007678532558981145,0.0003250551713433528,0.0,0.00037440899540075993
